gameMode,content,deck
neverever,Never have I ever faked sick from work ,
neverever,Never have I ever gone skinny dipping ,
neverever,Never have I ever cheated on a test ,
neverever,Never have I ever marched in a protest ,
neverever,Never have I ever overdrafted my bank account ,
neverever,Never have I ever eaten someone else's lunch ,
neverever,Never have I ever played strip poker ,
neverever, Never have I ever smoked a joint ,
neverever,Never have I ever peed in a pool ,
neverever,Never have I ever tried hard drugs ,
neverever,Never have I ever fallen asleep in public ,
neverever,Never have I ever fallen asleep at work ,
neverever,Never have I ever lied on my resume ,
neverever,Never have I ever drunk-dialed my ex ,
whoami,Scooby Doo,
whoami,Superman,
whoami,Batman,
whoami,Robin,
whoami,Banana,
whoami,Raccon,
whoami,Andrzej Duda,
whoami,Avocado,
whoami,House,
whoami,Spider-Man,
whoami,Tom Holland,
whoami,Skynet,
whoami,Harry Potter,
whoami,Awięc,
whoami,OjWojtek,
truth,When was the last time you lied?,
truth,What's your biggest fantasy?,
truth,Who's the last person you searched on Instagram?,
truth,What's the strangest thing you've ever eaten?,
truth,Do you have a hidden talent?,
dare,Do 10 squats,
dare,Yell out the first word that comes to your mind,
dare,Eat a snack without using your hands,
dare,Only talk in whispers for the next 10 minutes,
dare,Try not to laugh for the next 10 minutes,
seconds,Name 3 body parts that you don’t want to shave,
seconds,Name 3 things you would do if you were the opposite sex,
seconds,Name 3 gross things you’ve eaten,
seconds,Name 3 embarrassing moments you’ve had in public,
seconds,Name 3 ways to annoy your neighbor,
seconds,Name 3 swear words in a foreign language,
seconds,Name 3 celebrities you find attractive,
seconds,Name 3 things you would do if you were invisible for a day,
seconds,Name 3 weird things you find oddly satisfying,
seconds,Name 3 places you’ve peed in public,
